#{"t_start": 1776588636.8938797, "env_id": "None"}
r,l,t
-1655.615392,358,748.845911
-1005.070758,233,750.543912
-695.443639,235,752.262912
214.723886,123,753.158913
-43.143425,220,754.841911
-111.865685,145,755.967915
-1253.760453,385,758.962914
-39.747162,127,759.940911
-110.844832,115,760.776915
216.312135,121,761.661912
-434.972212,136,762.649912
-855.064889,305,764.865912
19.560776,215,766.492915
106.283789,150,767.631912
-404.932826,445,770.952912
-953.504377,202,772.388911
-895.282969,304,774.549911
182.304292,150,775.609911
-482.792865,128,776.532916
-193.40887,161,777.785914
-1193.543473,244,779.667914
-924.978225,146,780.783912
-565.303877,125,781.748914
-231.968846,137,782.781911
-895.03469,224,784.382911
116.832542,290,786.458913
-320.018419,126,787.360913
-535.839608,215,788.966911
-429.126329,140,790.018912
108.473334,142,791.084914
-663.807315,160,792.279911
-88.026251,126,793.225914
-717.489416,193,794.665911
-57.223681,122,795.563912
-351.404789,176,796.854911
-151.585563,114,797.695911
-588.092862,169,798.930912
125.021474,132,799.934914
-379.932111,76,800.526912
-614.952637,110,801.373915
-1016.688646,197,802.885912
-447.416901,483,806.538915
-530.763816,221,808.133912
-652.924707,138,809.121912
-1928.665413,500,812.714911
-537.765507,287,814.788911
-663.035714,135,815.772915
-239.892707,129,816.693912
-467.382682,216,818.217912
-1027.192216,227,819.819911
-430.272608,90,820.448913
-528.03183,133,821.862912
-134.824019,147,822.943914
-147.14091,135,823.960912
-1126.879095,281,826.100914
-356.768525,152,827.284914
-410.807923,151,828.408911
-454.385084,402,831.321912
-849.412942,235,833.031912
-29.411043,139,834.090912
-245.621189,240,835.928912
-801.323441,166,837.201915
-210.023087,144,838.303913
-352.961883,103,839.080911
-800.230262,175,840.353911
-72.190365,165,841.559912
-585.345701,136,842.551912
-506.894175,196,843.970912
-499.349979,114,844.832914
-363.428,117,845.741911
180.415373,120,846.670914
282.061622,166,847.950914
103.263746,116,848.849915
-433.755403,129,849.841914
-195.819433,136,850.863911
-732.915102,249,852.644912
91.654548,172,853.876922
-116.735983,140,854.888912
-396.603578,143,855.918911
-106.216078,183,857.286914
448.453338,161,858.490914
-72.515247,128,859.445912
-350.753001,75,859.992912
-684.008213,154,861.141914
-145.377462,233,862.823913
-513.586797,108,863.591911
-123.155212,137,864.563912
-303.028775,106,865.342912
-585.027786,117,866.207911
-297.540563,82,866.809911
-595.958347,233,868.579911
-345.352662,140,869.655913
-678.599358,190,871.118911
-640.306777,420,874.291914
313.009988,194,875.713911
-610.291896,99,876.435911
-417.970712,80,877.020913
246.944615,207,878.534914
-64.607642,249,880.406911
-171.024295,335,882.911912
-294.664676,116,883.777913
-394.772369,133,884.738911
-282.862573,98,885.428911
65.585064,287,887.456912
-596.722298,167,888.634911
-760.039702,180,889.909911
-449.406556,122,890.828912
-62.597569,122,891.752914
-295.920974,120,892.653914
-323.586178,157,893.842912
-524.637462,190,895.282912
-1266.07298,307,897.991912
-168.061477,109,898.764912
-142.572585,295,900.867911
-913.319718,221,902.446911
-582.989837,191,903.865915
-564.670731,391,906.856911
-596.939638,135,907.845912
-41.111058,238,909.588912
-116.645338,130,910.543911
-391.767973,99,911.268912
-61.073501,103,912.019912
-107.009142,147,913.132915
-1509.806459,500,917.049915
738.08233,144,918.173914
-710.684461,164,919.402912
-1034.959217,264,921.324913
-566.666112,189,922.698913
-536.922445,114,923.521913
-472.159785,146,924.581911
71.765601,115,925.429916
-2072.509587,483,929.022914
-1328.54692,304,931.194911
-421.541963,163,932.342912
-910.433692,126,933.235912
-698.695341,159,934.366913
-683.529163,188,935.731915
-513.705966,94,936.452911
-596.216125,114,937.332911
-53.408702,138,938.400631
-1286.866242,286,940.601895
-667.070016,322,942.975555
-663.438943,159,944.137048
63.848406,193,945.547132
-58.585407,268,947.541431
14.16049,208,949.096825
30.113191,155,950.264019
113.771306,283,952.408893
-112.113967,141,953.448891
-306.460365,154,954.577891
-1512.217046,246,956.384892
-389.70761,137,957.39889
-241.136685,69,957.907891
-386.746921,85,958.549891
-322.485295,104,959.34289
-948.616729,174,960.671891
-1054.260829,290,962.883893
-504.485284,82,963.506893
-1449.181186,500,967.095891
461.227871,107,967.85289
-903.156002,178,969.120891
-763.203041,153,970.628896
-276.075208,133,971.58989
-812.433185,204,973.059892
-522.781693,178,974.341891
167.650218,148,975.38889
-87.524355,183,976.669892
-199.767092,105,977.410891
-35.885839,121,978.259892
-210.588568,105,978.998893
-344.732118,78,979.546891
242.165348,113,980.35889
-305.853372,118,981.270891
214.677822,178,982.635893
-299.460666,92,983.355893
-913.555829,204,984.936893
-711.391355,251,986.857891
-868.374786,281,988.900891
-258.205865,134,989.87289
-302.457858,70,990.381891
-876.865395,461,993.820893
-220.886353,98,994.56489
-497.226806,95,995.286891
-525.057068,111,996.121891
-268.35342,116,997.002891
-345.334987,119,997.902891
-624.52563,214,999.47089
-675.257804,239,1001.184893
-694.172533,117,1002.010891
-1024.98073,206,1003.498891
-1218.093325,376,1006.406891
-1526.269156,360,1009.139895
-1307.380203,340,1011.580405
-614.394544,146,1012.634521
264.826949,164,1013.81752
-697.891737,106,1014.58203
-8.859423,197,1016.036727
-851.924816,183,1017.414727
-1542.66222,298,1019.623725
-653.641588,154,1020.775725
-239.402546,93,1021.461725
278.122225,228,1023.131725
-448.912735,110,1023.940725
-849.90497,192,1025.354724
5.085164,247,1027.238725
135.958929,130,1028.247726
418.58223,218,1029.937726
-728.311606,169,1031.24373
-640.677581,325,1033.668725
61.972983,237,1035.404725
45.005033,134,1036.387725
-325.047357,158,1037.546724
-487.335146,109,1038.373726
-269.966845,137,1039.383724
210.955434,134,1040.345725
-624.603998,176,1041.606725
-733.144228,117,1042.447734
-350.241377,162,1043.60114
45.639249,161,1045.099342
-1003.15376,275,1047.023656
-500.015577,97,1047.705655
-1213.058342,294,1049.869658
-683.509926,155,1051.027657
-832.441621,157,1052.199658
-601.335475,136,1053.209655
56.713399,213,1054.790654
-437.189316,161,1055.939656
-226.318569,157,1057.053655
-860.583469,152,1058.145655
11.701219,166,1059.355656
-594.453497,138,1060.390657
-301.210099,108,1061.219654
-1459.700674,344,1063.841654
-682.784357,152,1064.997654
340.334363,218,1066.616655
11.735724,176,1067.903655
-57.218158,186,1069.263655
-839.202928,248,1071.079656
-357.881192,372,1073.971657
-205.868948,195,1075.497658
-522.320813,190,1076.978657
-210.274706,86,1077.628655
402.158301,170,1078.849655
-155.701317,131,1079.787656
-215.799835,195,1081.185655
-1082.504455,227,1082.814658
-666.202917,127,1083.754655
-831.997184,188,1085.153658
-244.004267,125,1086.077658
-834.426523,175,1087.368654
-342.710613,200,1088.835655
-67.352772,139,1089.818655
-42.990175,107,1090.582655
157.138499,133,1091.526654
3.136155,298,1093.645656
-185.936168,103,1094.428655
325.12567,225,1096.170655
-349.062833,119,1097.069654
-607.58626,227,1098.793654
-456.711835,72,1099.344655
-820.932007,259,1101.251656
-349.940313,109,1102.038685
-784.07295,153,1103.160689
-1857.656683,350,1105.743928
-279.493814,157,1106.910931
20.522851,244,1108.734929
-518.216699,123,1109.656931
-604.476194,119,1110.55193
-463.55017,156,1111.707928
135.106687,126,1112.628928
-203.256906,233,1114.335927
-738.730943,179,1115.657932
-121.361396,103,1116.408928
-340.804142,101,1117.147928
163.17766,214,1119.744931
-330.383353,125,1120.689931
-611.012469,149,1121.804928
-537.389265,81,1122.421928
108.616643,112,1123.217928
-408.697284,171,1124.431929
-581.076168,161,1125.572928
-353.38053,89,1126.202929
-1596.184785,416,1129.165931
-358.611572,96,1129.866929
184.916891,132,1130.812928
-1045.54039,189,1132.194928
-138.472977,127,1133.096931
-905.162166,206,1134.558928
-3.627489,167,1135.74993
-1748.113541,394,1138.627928
-462.359673,109,1139.480928
-171.874507,126,1140.463931
-2588.600536,500,1144.38093
-167.591219,167,1145.638928
-447.388705,162,1146.822929
-251.020879,288,1148.918928
-727.450899,248,1150.748928
-412.865988,148,1151.874931
14.975905,213,1153.496928
-224.244124,109,1154.324931
-529.408039,196,1155.79293
-1600.642408,313,1158.032928
-195.289604,180,1159.306927
47.4842,145,1160.340927
-601.681531,160,1161.471927
-424.701257,125,1162.431931
-1021.480159,212,1164.077928
34.909663,141,1165.161929
-291.933281,107,1165.980928
-279.136129,92,1166.682928
-18.985551,140,1167.758928
-225.527571,105,1168.510929
-45.261038,72,1169.027928
-328.307238,119,1169.880929
-44.665195,84,1170.481928
-991.662559,176,1171.746927
-335.932376,98,1172.448929
-1165.182479,500,1176.15893
-553.416273,146,1177.256929
-112.051614,246,1179.090928
-407.87113,199,1180.551928
-261.629423,234,1182.272928
-436.194331,95,1182.968928
-71.684495,103,1183.725928
22.37154,156,1184.900928
-111.580389,129,1185.898928
245.267271,188,1187.338932
-335.590082,154,1188.499931
100.832004,283,1190.671928
-454.568775,138,1191.678928
-201.902861,110,1192.488928
-297.061275,229,1194.603927
61.304944,167,1195.80593
-370.945206,178,1197.083927
-251.066162,163,1198.263928
-217.739711,86,1198.889928
-461.130238,141,1199.921931
-1079.081403,353,1202.450929
-114.961276,95,1203.116928
-746.478939,245,1204.834928
51.392376,152,1205.910928
-817.739683,106,1206.659928
-234.54513,167,1207.902929
95.326672,179,1209.228928
-656.269939,127,1210.17293
-714.562196,167,1211.441931
-403.5712,91,1212.126931
-275.250526,155,1213.269928
-435.899892,101,1214.003929
136.592239,138,1215.002928
-567.298604,162,1216.178928
226.433306,141,1217.202929
-146.2477,169,1218.446959
-503.686735,102,1219.225959
-181.372104,174,1220.542958
-425.008216,71,1221.084957
-392.36624,83,1221.71096
-342.998401,152,1222.865957
-39.431387,105,1223.666958
-1011.30492,264,1225.61396
-385.92564,186,1226.969962
-2609.02823,415,1230.056958
217.350852,227,1231.831958
-120.721039,176,1233.202958
-100.221907,92,1233.915957
-190.040106,101,1234.702957
-48.700516,196,1236.174961
-370.857189,118,1237.022959
-212.323337,183,1238.335957
-543.467066,96,1239.02196
-621.181327,253,1240.833957
-26.212371,127,1241.761958
-459.186523,145,1242.833958
-234.189563,89,1243.501958
-82.414944,126,1244.440957
37.566728,146,1245.525959
-30.510577,106,1246.312959
-397.55759,110,1247.115957
-331.394383,83,1247.703961
-1268.735746,488,1251.168959
-110.574313,124,1252.066961
-258.447948,98,1252.820958
-230.295633,98,1253.582959
-47.07266,111,1254.438957
-710.013846,115,1255.324957
-236.552211,132,1256.339959
-177.234369,142,1257.434958
152.460185,160,1258.65596
-380.301761,103,1259.412961
363.771518,253,1261.25596
818.025476,250,1263.086957
-930.466599,332,1265.574958
-171.891302,89,1266.241959
-741.028352,248,1268.877958
-21.329666,151,1270.001961
-418.992428,84,1270.617959
-148.553002,155,1271.759961
18.540305,116,1272.587961
-1276.321363,366,1275.197962
352.543501,120,1276.090958
-261.646913,102,1276.848957
38.89102,209,1278.433959
-399.237989,184,1279.795959
-630.368404,198,1281.251961
98.569287,122,1282.140957
-304.926613,125,1283.056958
-280.010545,118,1283.91896
-487.46358,116,1284.77096
-237.764157,124,1285.676957
-309.595909,186,1287.022958
-113.945303,260,1288.861958
409.323883,207,1290.349957
-42.683301,165,1291.604958
-1527.490055,350,1294.158961
-228.621752,173,1295.425957
-178.464402,123,1296.323959
183.145181,161,1297.536959
-57.213941,192,1299.039958
-505.169034,165,1300.334958
-157.112693,135,1301.391958
-440.877225,116,1302.294957
-60.018844,125,1303.265959
-392.824518,217,1304.851921
-432.591016,109,1305.639922
-628.265663,245,1307.422922
-182.006576,80,1308.000921
-384.301303,326,1310.443925
-857.902724,224,1312.113921
543.8047,242,1313.904921
-275.526982,190,1315.278922
-715.433733,154,1316.371921
-774.883243,186,1317.691922
585.117945,215,1319.224921
-672.820806,156,1320.366924
168.51511,224,1322.105924
-244.125711,92,1322.815923
-480.666206,326,1325.347924
352.946199,202,1326.855921
-1397.602035,222,1328.456922
