#{"t_start": 1776592310.176137, "env_id": "None"}
r,l,t
-448.395895,100,642.551542
411.736667,135,643.542542
-1224.065191,155,644.684543
-386.869884,135,645.64254
-318.40421,87,646.25754
-2744.408922,500,649.95954
-876.874557,216,651.580549
-640.424134,130,652.607539
-623.480951,75,653.174539
-702.040814,129,654.213539
-2631.536897,500,658.074599
-175.910076,117,658.922598
-426.887242,138,659.914599
-49.578451,109,660.7366
-305.003807,172,661.990599
-2858.441132,500,665.716602
-439.147073,320,668.017603
689.727493,274,669.930599
135.819447,142,670.9376
-761.070564,265,672.788599
-878.686359,270,675.2636
140.172232,181,676.666602
-253.504785,247,678.531602
-114.777664,81,679.180602
-105.70473,216,680.746599
-3164.593777,500,684.306598
-1727.490224,500,688.113603
-209.505007,157,689.306603
-2225.285942,500,693.062599
256.248053,134,694.028599
-926.368256,162,695.2196
-1863.225231,341,697.791602
-818.6512,172,699.157601
-236.31954,143,700.287599
75.888847,244,702.215599
-594.319987,198,703.697599
-1159.416697,245,705.474599
-513.467908,224,707.073599
-898.845071,192,708.453602
-2319.306093,299,710.634599
-451.250026,102,711.406598
176.187711,98,712.1286
-2691.950975,500,715.788599
-419.544914,146,716.826598
-509.017394,88,717.451598
-188.482611,109,718.2046
351.049995,115,719.0086
-817.69265,226,720.702599
-728.558895,500,724.586599
-154.946417,97,725.362602
-561.42594,87,726.0076
-392.043516,185,727.3716
-672.385782,166,728.563599
-337.599333,364,731.212599
-901.906532,168,732.481602
-362.004791,109,733.290599
-2321.01494,500,737.062602
-648.026649,206,738.5966
-423.4084,75,739.153599
-2038.865398,500,742.755601
-337.052818,173,744.055598
-957.971384,149,745.185603
-886.692463,219,746.854599
-912.787099,401,750.317598
-2874.710821,500,753.884599
-97.214282,88,754.517601
-1477.971618,223,756.121602
-1387.56238,298,758.241602
-541.19781,500,761.910599
-20.987692,117,762.790598
-566.552674,154,763.9066
-852.175132,131,764.876598
-2238.788082,500,768.808599
-2263.885194,500,772.669598
-110.488133,103,773.420598
-114.868531,116,774.261598
-53.909101,127,775.1666
-3636.843202,500,778.901601
-264.885173,140,779.932602
-97.887681,164,781.153602
-210.264606,131,782.134599
-519.727563,74,782.689888
-457.86823,389,785.425888
116.787147,123,786.297892
-218.200285,111,787.060889
-1941.626793,500,790.832889
-824.588729,285,793.088889
-207.49308,185,794.535889
-443.972734,141,795.539892
-133.457054,70,796.050892
-310.135828,80,796.618891
-1635.376459,500,800.262324
-2462.791085,500,804.042324
77.563943,177,805.373325
-1633.459093,310,807.656737
-613.853386,170,808.93095
-1835.778895,478,812.503952
-465.639863,117,813.445952
133.891739,264,815.506951
-1340.301862,287,817.700951
-1839.983118,500,821.272951
-2768.86048,500,825.710704
139.29049,138,826.697704
40.291784,135,827.658761
-687.992062,181,828.931761
-264.982072,69,829.406761
-1805.644225,441,832.496678
-1664.564302,241,834.241678
-1794.70254,500,838.179999
-2178.155077,500,841.975085
-311.789303,161,843.133082
-2353.131867,500,846.818428
-349.535995,356,849.543426
-612.508703,159,850.761426
-2801.521709,500,854.451429
-206.065304,96,855.134427
-81.98146,336,857.564426
-1088.200473,184,859.019427
-1282.804716,235,860.852427
-2135.844079,453,864.32343
-505.88538,88,864.949429
-140.776348,77,865.489429
-1039.024951,419,868.496427
-2646.887975,500,872.193428
-729.234748,125,873.113426
-556.576926,184,874.478427
-314.897708,106,875.254427
-2739.928968,500,878.959426
-1611.878784,298,881.221426
-2314.347431,500,885.152426
-129.705315,82,885.783427
-2528.784387,415,888.863428
-390.256654,176,890.14743
-468.337815,80,890.72943
-874.267736,195,892.161427
-2774.178265,500,895.838427
-1102.360917,200,897.294427
-603.685933,133,898.224426
-1327.280095,352,901.233427
-704.486487,130,902.161426
-2421.057339,500,905.950427
-483.23639,148,907.083427
-669.159969,251,908.993426
-2310.248498,500,912.588426
-2112.548384,448,915.924426
-538.705114,76,916.502427
200.036965,136,917.545428
-1899.35233,308,919.907427
-1878.074026,351,922.508426
-431.777397,88,923.152426
-2594.028233,500,926.880426
-348.426531,99,927.673426
-32.052332,178,929.076427
-775.313925,179,930.496427
-866.761444,156,931.732427
-1143.296053,139,932.791427
-446.085457,100,933.510427
-1300.947455,500,937.086426
-1431.589046,200,938.581426
-485.048138,98,939.277428
-992.17279,150,940.391426
-444.748639,72,940.916426
-1285.131573,176,942.235426
-494.307534,95,942.956426
-175.711003,232,944.613426
-409.354022,114,945.400426
-459.494117,96,946.075426
-466.816248,100,946.778427
-760.901399,140,947.765427
-363.107815,142,948.779428
-136.752955,202,950.313426
-1583.17361,352,953.065428
-851.572004,178,954.478427
-2951.66385,500,958.188447
-530.616366,100,958.921447
-683.076085,84,959.533448
-214.519888,158,960.671447
-320.139361,126,961.627447
-615.040409,121,962.532448
-2472.20165,469,966.046447
-146.938819,127,966.998448
-674.765253,140,968.030447
-342.617096,110,968.819447
-1021.25833,235,970.468446
45.501955,211,971.960447
-730.391747,209,973.569447
-723.732562,201,975.565448
-355.369942,88,976.246447
-434.224481,80,976.856447
-206.614617,145,977.995448
-806.181603,237,979.675449
-2338.785771,500,983.236448
-551.963733,97,983.924447
-587.137205,92,984.585447
-1512.173859,243,986.333447
-454.931066,67,986.812449
-571.015305,140,987.868448
-551.96574,121,988.775447
217.429846,136,989.786447
-2532.355831,500,993.462447
-2707.408079,419,996.712448
-441.193621,59,997.162448
-568.534882,183,998.624447
-400.437137,154,999.864452
-1739.743926,500,1003.601448
-511.993368,77,1004.155449
-531.529984,83,1004.765447
387.996363,121,1005.636449
-144.509891,142,1006.656447
-964.879857,273,1008.702447
-2994.664792,500,1012.403449
-3001.077438,500,1015.962448
-458.976859,119,1016.780447
-2932.842582,500,1020.633447
-474.674259,74,1021.228448
-339.542216,126,1022.202447
-649.28478,144,1023.322448
-386.87705,104,1024.126449
-696.578035,172,1025.35545
51.849803,185,1026.723447
-824.790248,219,1028.302447
-833.996897,151,1029.414447
-1127.220204,211,1031.003448
-44.347791,225,1032.710447
-1221.125851,171,1034.007447
-912.531113,180,1035.355449
-307.519721,85,1035.96745
-248.493598,250,1037.819451
-1595.103843,425,1040.945447
255.724139,138,1042.011447
-468.059556,84,1042.662447
-352.378959,126,1043.661448
-444.222571,97,1044.407448
-1735.582101,500,1048.149447
-494.414484,85,1048.746448
-288.867346,96,1049.862448
-453.253083,135,1050.825449
-339.67257,98,1051.532448
-560.028577,138,1052.492448
-378.944693,114,1053.338447
-638.848984,138,1054.309449
-699.424527,255,1056.128447
-909.367141,191,1057.515448
-652.581886,99,1058.193448
93.302187,213,1059.702447
-598.877527,208,1061.157447
-217.923911,128,1062.054447
-338.440345,149,1063.124448
-442.978025,96,1063.861447
-447.143808,101,1064.648453
-565.510896,233,1066.473447
-701.880559,123,1067.455447
-374.107795,93,1068.180448
-352.563674,159,1069.445448
-705.71794,163,1070.654448
-360.598065,175,1071.932448
-1908.277596,500,1075.586447
-613.73826,145,1076.685447
-1920.910966,244,1078.531447
-754.776085,195,1080.020447
-1061.962444,215,1081.625448
-679.773437,139,1082.618447
64.77009,105,1083.348448
-1534.813972,363,1085.916447
-1764.932649,500,1089.743448
-791.471158,223,1091.497448
-632.244458,139,1092.585447
-588.049583,157,1093.715447
-1156.923565,221,1095.284447
-446.933091,411,1098.237447
-1635.017859,429,1101.408448
-2012.278072,500,1105.142447
-678.234842,192,1106.552449
-466.446862,142,1107.605447
806.580531,352,1110.223448
-480.438589,182,1111.650447
-1567.116559,311,1114.102448
-751.223427,123,1115.057448
369.950678,184,1116.46596
-413.850946,123,1117.341961
-763.462626,99,1118.073959
-476.010239,109,1118.858961
-659.670965,182,1120.183958
-12.557283,163,1121.345958
-534.938067,115,1122.173959
-2547.981134,374,1125.681533
-3214.421427,500,1129.240532
-2818.971403,402,1132.050533
-333.518216,147,1133.165534
148.487096,185,1134.576534
-52.868681,203,1136.119534
-2561.699131,500,1139.860533
-469.535662,163,1141.049536
225.152163,147,1142.119535
-214.728049,130,1143.051533
-353.790667,153,1144.190534
-240.433652,108,1145.023533
